,mol_id,smiles,pIC50
0,CHEMBL50027,Clc1ncc2ncnc(Nc3ccccc3)c2n1,5.59
1,CHEMBL37543,OCC(O)Cn1ncc2cc3c(Nc4cccc(Br)c4)ncnc3cc12,7.92
2,CHEMBL53156,CNc1ccc2ncnc(Nc3cccc(Br)c3)c2n1,7.7
3,CHEMBL213342,CS(=O)(=O)CCNCc1oc(cc1)c2ccc3ncnc(Nc4ccc(OCc5ccccc5)cc4)c3c2,7.57
4,CHEMBL287007,CN(C)Cc1c[nH]c2cc3ncnc(Nc4cccc(Br)c4)c3cc12,8.59
6,CHEMBL334801,CN(C)CCCNC(=O)\C=C\C(=O)Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,7.24
7,CHEMBL334697,CN(C(=O)C=C)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,9.77
8,CHEMBL334697,CN(C(=O)C=C)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,7.89
9,CHEMBL264382,Cc1cc([nH]c1\C=C\2/C(=O)Nc3ncnc(Nc4ccc5c(ccn5Cc6ccccc6)c4)c23)C(=O)NCCN7CCOCC7,6.7
11,CHEMBL111365,COc1ccc(Nc2ncc3C=C(C(=O)N(C)c3n2)c4c(Cl)cccc4Cl)cn1,5.89
12,CHEMBL212250,Fc1cccc(COc2ccc(Nc3ncnc4ccc(cc34)c5oc(COCCS(=O)(=O)c6ccccc6)cc5)cc2Cl)c1,7.6
13,CHEMBL215814,CS(=O)(=O)CCNCc1oc(cc1)c2ccc3ncnc(Nc4ccc(OCc5cccc(F)c5)c(c4)C(F)(F)F)c3c2,7.1
14,CHEMBL316764,OC(=O)c1cc(ccc1O)\N=C\c2cc(O)ccc2O,4.0
16,CHEMBL342828,Brc1cccc(Nc2ncnc3cnc(NC(=O)\C=C\C(=O)NCCCn4ccnc4)cc23)c1,9.25
17,CHEMBL60472,COc1ccc2c(C(=O)Nc3ccccc3)c(SSc4c(C(=O)Nc5ccccc5)c6ccc(OC)cc6n4C)n(C)c2c1,5.44
18,CHEMBL138691,CN(C)CCN(C(=O)C=C)c1cc2c(Nc3cccc(Br)c3)ncnc2cn1,5.64
20,CHEMBL1202477,Cl.COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCCCN4CCN(C)CC4,7.0
21,CHEMBL44,Oc1ccc(cc1)C2=COc3cc(O)cc(O)c3C2=O,6.0
23,CHEMBL52823,Cc1cccc(Nc2ncnc3cnc(Cl)nc23)c1,6.42
24,CHEMBL241990,COc1cc(NCc2c[nH]cn2)cc3c(Nc4ccc(F)c(Cl)c4)c(cnc13)C#N,5.68
25,CHEMBL349070,CN(C)CCCCNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,7.72
27,CHEMBL165788,CNc1cc2c(Nc3cccc(c3)C(F)(F)F)ncnc2cn1,8.96
28,CHEMBL160303,CS(=O)(=O)CCNc1nc(cs1)c2ccc3ncnc(Nc4ccc5c(cnn5Cc6ccccc6)c4)c3c2,6.96
30,CHEMBL165508,Brc1cccc(Nc2ncnc3cnc(NCc4cccnc4)cc23)c1,8.82
31,CHEMBL162034,CN(C)CCNc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,8.96
32,CHEMBL51853,Nc1cc2c(Nc3cccc(Br)c3)ncnc2cn1,9.89
33,CHEMBL334915,Cn1c([Se][Se]c2c(C(=O)O)c3ccccc3n2C)c(C(=O)O)c4ccccc14,5.46
35,CHEMBL162821,CNc1cc2c(Nc3cccc(C)c3)ncnc2cn1,7.64
36,CHEMBL155607,NC(=O)CCC1C(=Nc2ccccc12)S,4.66
37,CHEMBL326100,COc1cc(\C=C(/C#N)\C(=O)N)cc(CSCc2ccccc2Cl)c1O,5.0
38,CHEMBL80030,CN(C)CC(=C)C(=O)c1ccc(OS(=O)(=O)c2ccc(cc2)C(=O)O)cc1,6.64
39,CHEMBL540292,Cl.CN(C)CC(CSc1ccccc1)C(=O)c2ccc(OCc3ccccc3)cc2,5.14
40,CHEMBL156797,O=C(CCc1c(SSc2[nH]c3ccccc3c2CCC(=O)Nc4ccccc4)[nH]c5ccccc15)Nc6ccccc6,4.6
41,CHEMBL473320,COc1cc2ncnc(c3c[nH]c4ccc(Br)cc34)c2cc1OC,6.88
42,CHEMBL338114,Brc1cccc(Nc2ncnc3cc(NCCc4c[nH]cn4)ncc23)c1,9.04
43,CHEMBL29197,COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OC,10.6
44,CHEMBL258940,CN1CCC(CC1)Nc2ncc3ncnc(Nc4ccc(F)c(Cl)c4)c3n2,8.52
45,CHEMBL503418,CN1CCN(Cc2ccc(Nc3nc4ncnc(Nc5ccc(OCc6cccc(F)c6)c(Cl)c5)c4s3)cc2)CC1,8.05
46,CHEMBL511449,NS(=O)(=O)c1ccc(Nc2nc3ncnc(Nc4ccc(cc4)N5CCOCC5)c3s2)cc1,4.75
47,CHEMBL248322,NC1CCN(Cc2ccn3ncnc(Nc4ccc(OCc5cccc[n+]5[O-])c(Cl)c4)c23)CC1,7.16
48,CHEMBL29197,COc1cc2ncnc(Nc3cccc(Br)c3)c2cc1OC,10.6
50,CHEMBL1907944,COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OC[C@H]4CCCN(C)C4,7.0
52,CHEMBL119156,COc1cc(\C=C(/C#N)\C(=O)N)cc(CSc2ccccn2)c1O,5.47
53,CHEMBL119156,COc1cc(\C=C(/C#N)\C(=O)N)cc(CSc2ccccn2)c1O,4.8
54,CHEMBL162622,Brc1cccc(Nc2ncnc3cnc(NCCN4CCOCC4)cc23)c1,9.19
55,CHEMBL162622,Brc1cccc(Nc2ncnc3cnc(NCCN4CCOCC4)cc23)c1,9.15
56,CHEMBL361322,C(c1ccccc1)c2nc3cc(Nc4ncnc5nn6ccccc6c45)ccc3[nH]2,5.3
58,CHEMBL293261,O=C(CCc1c(SSc2[nH]c3ccccc3c2CCC(=O)NCc4ccccc4)[nH]c5ccccc15)NCc6ccccc6,6.07
59,CHEMBL172514,COCCNCCN1CCC(CC1)n2cc(c3cccc(OC)c3)c4c(N)ncnc24,6.51
60,CHEMBL113185,COc1cc(Nc2nccc(n2)c3ccc(NCCN)nc3)cc(OC)c1OC,5.29
61,CHEMBL86531,NS(=O)(=O)c1ccc2NC(=O)\C(=C/c3[nH]c4CCCCc4c3CCC(=O)O)\c2c1,4.54
62,CHEMBL304414,Cn1c(SSc2c(C(=O)Nc3ccccc3)c4ccccc4n2C)c(C(=O)Nc5ccccc5)c6ccccc16,5.0
63,CHEMBL209818,CN(C(=O)N(CCCl)N=O)c1ccc2ncnc(Nc3cccc(C)c3)c2c1,5.94
64,CHEMBL210444,ClCCNC(=O)Nc1ccc2ncnc(Nc3cccc(Cl)c3)c2c1,7.66
65,CHEMBL50344,CNc1ccc2ncnc(Nc3cccc(Br)c3)c2c1,8.3
66,CHEMBL355322,COc1cccc(c1)c2cn(C3CCN(CC(=O)N)C3)c4ncnc(N)c24,6.36
67,CHEMBL1812491,Cn1cccc1c2nc3cc(NC(=O)CCl)ccc3[nH]2,4.92
68,CHEMBL1812566,COc1cccc(\C=C\C(=O)Nc2ccc3ncnc(Nc4cccc(Cl)c4)c3c2)c1,5.18
69,CHEMBL542733,Cl.COc1ccc(Nc2ncnc3cc(OC)c(OC)cc23)cc1,6.6
70,CHEMBL24828,COc1cc2c(Nc3ccc(Br)cc3F)ncnc2cc1OCC4CCN(C)CC4,6.1
71,CHEMBL247915,NC1CCN(Cc2ccn3ncnc(Nc4ccc5c(cnn5Cc6cccnc6)c4)c23)CC1,6.72
72,CHEMBL246898,CS(=O)(=O)CCNC1CCN(Cc2ccn3ncnc(Nc4ccc5c(cnn5Cc6cccc(F)c6)c4)c23)CC1,6.7
73,CHEMBL392664,Fc1cccc(Cn2ncc3cc(Nc4ncnn5ccc(CNC6CCNCC6)c45)ccc23)c1,6.96
74,CHEMBL250132,C[C@H](CN(C)C(=O)CO)Oc1cccc2ncnc(Nc3ccc(OCc4ccccn4)c(Cl)c3)c12,8.7
